,authors,title,venue,type,year,access,key,ee
34,"Yulin Wu,Ke Zhang 0014,Jingyu Wang,Yezi Wang,Qi Wang 0009,Qiang Li",CDD-Net: A Context-Driven Detection Network for Multiclass Object Detection.,IEEE Geosci. Remote. Sens. Lett.,Journal Articles,2022,closed,journals/lgrs/WuZWWWL22,https://doi.org/10.1109/LGRS.2020.3042465
35,"Shilpa Rani,Deepika Ghai,Sandeep Kumar",Object detection and recognition using contour based edge detection and fast R-CNN.,Multim. Tools Appl.,Journal Articles,2022,closed,journals/mta/RaniGK22,https://doi.org/10.1007/s11042-021-11446-2
36,"Wenzhong Rong,Jin Han,Gen Liu",Instance-level Object relation module for one-stage Object Detection.,Multim. Tools Appl.,Journal Articles,2022,closed,journals/mta/RongHL22,https://doi.org/10.1007/s11042-022-12264-w
37,"Lu Liu,Robby T. Tan",Human object interaction detection using two-direction spatial enhancement and exclusive object prior.,Pattern Recognit.,Journal Articles,2022,closed,journals/pr/LiuT22,https://doi.org/10.1016/j.patcog.2021.108438
38,"Zhipeng Dong,Mi Wang,Yanli Wang,Yanxiong Liu,Yikai Feng,Wenxue Xu",Multi-Oriented Object Detection in High-Resolution Remote Sensing Imagery Based on Convolutional Neural Networks with Adaptive Object Orientation Features.,Remote. Sens.,Journal Articles,2022,open,journals/remotesensing/DongWWLFX22,https://doi.org/10.3390/rs14040950
39,"Yuanzhen Ju,Qiang Xu,Shichao Jin,Weile Li,Yanjun Su,Xiujun Dong,Qinghua Guo 0002",Loess Landslide Detection Using Object Detection Algorithms in Northwest China.,Remote. Sens.,Journal Articles,2022,open,journals/remotesensing/JuXJLSDG22,https://doi.org/10.3390/rs14051182
40,"Ruixi Zhu,Long Zhuang",Unsupervised Infrared Small-Object-Detection Approach of Spatial-Temporal Patch Tensor and Object Selection.,Remote. Sens.,Journal Articles,2022,open,journals/remotesensing/ZhuZ22,https://doi.org/10.3390/rs14071612
41,"Firat Hardalaç,Fatih Uysal,Ozan Peker,Murat Çiçeklidag,Tolga Tolunay,Nil Tokgöz,Ugurhan Kutbay,Boran Demirciler,Fatih Mert",Fracture Detection in Wrist X-ray Images Using Deep Learning-Based Object Detection Models.,Sensors,Journal Articles,2022,open,journals/sensors/HardalacUPCTTKD22,https://doi.org/10.3390/s22031285
42,"Xinglei He,Xiaohan Zhang,Yichun Wang,Hongzeng Ji,Xiuhui Duan,Fen Guo",Spatial Attention Frustum: A 3D Object Detection Method Focusing on Occluded Objects.,Sensors,Journal Articles,2022,open,journals/sensors/HeZWJDG22,https://doi.org/10.3390/s22062366
43,"Charalambos Theodorou,Vladan Velisavljevic,Vladimir Dyo",Visual SLAM for Dynamic Environments Based on Object Detection and Optical Flow for Dynamic Object Removal.,Sensors,Journal Articles,2022,open,journals/sensors/TheodorouVD22,https://doi.org/10.3390/s22197553
44,"Xueqiang Wan,Jiong Yu,Haotian Tan,Junjie Wang",LAG: Layered Objects to Generate Better Anchors for Object Detection in Aerial Images.,Sensors,Journal Articles,2022,open,journals/sensors/WanYTW22,https://doi.org/10.3390/s22103891
45,"Xiaobin Wang,Dekang Zhu,Ye Yan",Towards Efficient Detection for Small Objects via Attention-Guided Detection Network and Data Augmentation.,Sensors,Journal Articles,2022,open,journals/sensors/WangZY22,https://doi.org/10.3390/s22197663
46,"Pengju Deng,Kaiyuan Wang,Xiaohong Han",Real-Time Object Detection Based on YOLO-v2 for Tiny Vehicle Object.,SN Comput. Sci.,Journal Articles,2022,closed,journals/sncs/DengWH22,https://doi.org/10.1007/s42979-022-01229-3
47,"Rachana Gupta,Satyasai Jagannath Nanda",Objective reduction in many-objective optimization with social spider algorithm for cloud detection in satellite images.,Soft Comput.,Journal Articles,2022,closed,journals/soco/GuptaN22,https://doi.org/10.1007/s00500-021-06655-8
48,"Dharini S,Sanjay Jain",A novel metaheuristic optimal feature selection framework for object detection with improved detection accuracy based on pulse-coupled neural network.,Soft Comput.,Journal Articles,2022,closed,journals/soco/SJ22,https://doi.org/10.1007/s00500-021-06126-0
49,"Ruiyang Xia,Guoquan Li,Zhengwen Huang,Hongying Meng,Yu Pang",CBASH: Combined Backbone and Advanced Selection Heads With Object Semantic Proposals for Weakly Supervised Object Detection.,IEEE Trans. Circuits Syst. Video Technol.,Journal Articles,2022,closed,journals/tcsv/XiaLHMP22,https://doi.org/10.1109/TCSVT.2022.3168547
50,"Hui Yao,Yanhao Liu,Xin Li,Zhanping You,Yu Feng,Weiwei Lu",A Detection Method for Pavement Cracks Combining Object Detection and Attention Mechanism.,IEEE Trans. Intell. Transp. Syst.,Journal Articles,2022,closed,journals/tits/YaoLLYFL22,https://doi.org/10.1109/TITS.2022.3177210
51,"Fei He,Naiyu Gao,Jian Jia,Xin Zhao 0012,Kaiqi Huang",QueryProp: Object Query Propagation for High-Performance Video Object Detection.,AAAI,Conference and Workshop Papers,2022,closed,conf/aaai/HeGJ0H22,https://ojs.aaai.org/index.php/AAAI/article/view/19965
52,"Xinpeng Liu,Yong-Lu Li,Cewu Lu",Highlighting Object Category Immunity for the Generalization of Human-Object Interaction Detection.,AAAI,Conference and Workshop Papers,2022,closed,conf/aaai/LiuLL22,https://ojs.aaai.org/index.php/AAAI/article/view/20075
53,"Lifan Zhao,Yunlong Meng,Lin Xu",OA-FSUI2IT: A Novel Few-Shot Cross Domain Object Detection Framework with Object-Aware Few-Shot Unsupervised Image-to-Image Translation.,AAAI,Conference and Workshop Papers,2022,closed,conf/aaai/ZhaoMX22,https://ojs.aaai.org/index.php/AAAI/article/view/20253
54,"Siyuan Liang,Longkang Li,Yanbo Fan,Xiaojun Jia,Jingzhi Li,Baoyuan Wu,Xiaochun Cao",A Large-Scale Multiple-objective Method for Black-box Attack Against Object Detection.,ECCV,Conference and Workshop Papers,2022,closed,conf/eccv/LiangLFJLWC22,https://doi.org/10.1007/978-3-031-19772-7_36
55,"Jinhwan Seo,Wonho Bae,Danica J. Sutherland,Junhyug Noh,Daijin Kim 0001",Object Discovery via Contrastive Learning for Weakly Supervised Object Detection.,ECCV,Conference and Workshop Papers,2022,closed,conf/eccv/SeoBSNK22,https://doi.org/10.1007/978-3-031-19821-2_18
56,"Guangzhi Wang,Yangyang Guo,Yongkang Wong,Mohan S. Kankanhalli",Chairs Can Be Stood On: Overcoming Object Bias in Human-Object Interaction Detection.,ECCV,Conference and Workshop Papers,2022,closed,conf/eccv/WangGWK22,https://doi.org/10.1007/978-3-031-20053-3_38
